Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-07-12,8.48,9300,-0.7(-7.00 %),160,1000000,0,0,10000,10000,9300
2018-07-13,8.48,9300,0(0.00 %),0,0,0,0,9300,9300,9300
2018-07-16,8.21,9000,-0.3(-3.23 %),40,0,0,0,9500,9500,9000
2018-07-17,8.21,9000,0(0.00 %),50,0,0,0,9000,9000,9000
2018-07-18,7.63,8400,-0.63(-7.00 %),10,0,0,0,8400,8400,8400
2018-07-19,7.3,8000,-0.37(-4.42 %),160,1000000,0,0,7800,8900,7800
2018-07-20,7.3,8000,0(0.00 %),10,0,0,0,8000,8000,8000
2018-07-23,7.66,8400,0.4(5.00 %),20,0,0,0,8000,8400,8000
2018-07-24,8.12,8900,0.5(5.95 %),1070,10000000,0,0,8400,8900,8400
2018-07-25,8.66,9500,0.6(6.74 %),10,0,0,0,9500,9500,9500
2018-07-26,8.66,9500,0(0.00 %),20,0,0,0,10000,10000,9500
2018-07-27,8.66,9500,0(0.00 %),50,0,0,0,10050,10050,9500
2018-07-30,8.65,9490,-0.01(-0.11 %),10,0,0,0,9490,9490,9490
2018-07-31,9.03,9900,0.41(4.32 %),1140,11000000,0,0,9500,9900,9000
2018-08-01,8.84,9690,-0.21(-2.12 %),10,0,0,0,9690,9690,9690
2018-08-02,8.84,9690,0(0.00 %),2410,22000000,0,0,9020,9690,9020
2018-08-03,8.23,9030,-0.66(-6.81 %),1880,17000000,0,0,9030,9700,9020
2018-08-06,8.66,9500,0.47(5.20 %),20,0,0,0,9030,9500,9030
2018-08-07,8.06,8840,-0.66(-6.95 %),700,6000000,0,0,9000,9600,8840
2018-08-08,8.48,9300,0.46(5.20 %),250,2000000,0,0,9400,9400,9300
2018-08-09,8.66,9500,0.2(2.15 %),10,0,0,0,9500,9500,9500
2018-08-10,8.66,9500,0(0.00 %),0,0,0,0,9500,9500,9500
2018-08-13,8.66,9500,0(0.00 %),200,2000000,0,0,9500,9500,9500
2018-08-14,9.26,10150,0.65(6.84 %),60,1000000,0,0,9900,10150,9900
2018-08-15,9.76,10700,0.55(5.42 %),2400,23000000,0,0,9440,10700,9440
2018-08-16,9.08,10000,-0.74(-6.92 %),1290,13000000,0,0,10000,10000,10000
2018-08-17,9.08,9960,0(0.00 %),0,0,0,0,9960,9960,9960
2018-08-20,8.46,9300,-0.68(-6.83 %),130,1000000,0,0,10100,10100,9300
2018-08-21,8.92,9780,0.5(5.39 %),1740,15000000,0,0,9270,9790,8640
2018-08-22,8.94,9800,0.02(0.20 %),750,7000000,0,0,9110,9800,9100
2018-08-23,9.03,9900,0.1(1.02 %),10,0,0,0,9900,9900,9900
2018-08-24,8.97,9840,-0.06(-0.61 %),4680,43000000,0,0,9250,9840,9210
2018-08-27,8.97,9840,0(0.00 %),0,0,0,0,9840,9840,9840
2018-08-28,9.03,9900,0.06(0.61 %),10,0,0,0,9900,9900,9900
2018-08-29,9.03,9900,0(0.00 %),0,0,0,0,9900,9900,9900
2018-08-30,9.03,9900,0(0.00 %),0,0,0,0,9900,9900,9900
2018-08-31,8.4,9210,-0.69(-6.97 %),1880,17000000,0,0,9210,9490,9210
2018-09-04,8.89,9750,0.54(5.86 %),1320,13000000,0,0,9800,9850,9000
2018-09-05,8.93,9790,0.04(0.41 %),310,3000000,0,0,9890,9890,9100
2018-09-06,8.93,9790,0(0.00 %),0,0,0,0,9790,9790,9790
2018-09-07,8.31,9110,-0.68(-6.95 %),270,2000000,0,0,9110,9750,9110
2018-09-10,8.31,9110,0(0.00 %),50,0,0,0,9110,9110,9110
2018-09-11,8.83,9680,0.57(6.26 %),270,2000000,0,0,9110,9680,8610
2018-09-12,8.83,9680,0(0.00 %),0,0,0,0,9680,9680,9680
2018-09-13,8.83,9680,0(0.00 %),0,0,0,0,9680,9680,9680
2018-09-14,8.57,9400,-0.28(-2.89 %),10,0,0,0,9400,9400,9400
2018-09-17,8.57,9400,0(0.00 %),0,0,0,0,9400,9400,9400
2018-09-18,8.02,8800,-0.6(-6.38 %),5960,53000000,0,0,8800,8950,8800
2018-09-19,7.47,8200,-0.61(-6.93 %),460,4000000,0,0,9400,9400,8200
2018-09-20,7.52,8250,0.06(0.73 %),1280,11000000,0,0,8250,8250,8250
2018-09-21,7.58,8310,0.06(0.73 %),2050,17000000,0,0,8250,8310,8250
2018-09-24,7.11,7800,-0.51(-6.14 %),1100,9000000,0,0,8320,8320,7800
2018-09-25,7.31,8020,0.22(2.82 %),1240,10000000,0,0,7800,8300,7800
2018-09-26,7.82,8580,0.56(6.98 %),210,2000000,0,0,8580,8580,8580
2018-09-27,8.37,9180,0.6(6.99 %),20,0,0,0,8900,9180,8900
2018-09-28,8.3,9100,-0.08(-0.87 %),90,1000000,0,0,9130,9130,9000
2018-10-01,8.3,9100,0(0.00 %),140,1000000,0,0,9100,9120,9100
2018-10-02,8.56,9390,0.29(3.19 %),550,5000000,0,0,9500,9500,9100
2018-10-03,8.57,9400,0.01(0.11 %),270,3000000,0,0,9400,9500,9300
2018-10-04,8.21,9000,-0.4(-4.26 %),50,0,0,0,9000,9000,9000
2018-10-05,8.66,9500,0.5(5.56 %),10,0,0,0,9500,9500,9500
2018-10-08,8.21,9000,-0.5(-5.26 %),3700,33000000,0,0,9000,9000,9000
2018-10-09,8.21,9000,0(0.00 %),0,0,0,0,9000,9000,9000
2018-10-10,8.2,8990,-0.01(-0.11 %),400,4000000,0,0,8790,8990,8790
2018-10-11,7.63,8400,-0.62(-6.90 %),620,5000000,0,0,8990,8990,8400
2018-10-12,7.74,8490,0.12(1.43 %),1160,10000000,0,0,8500,8500,8490
2018-10-15,8.25,9050,0.56(6.60 %),110,1000000,0,0,9000,9050,9000
2018-10-16,8.38,9190,0.14(1.55 %),210,2000000,0,0,9000,9190,8500
2018-10-17,8.38,9190,0(0.00 %),0,0,0,0,9190,9190,9190
2018-10-18,8.64,9470,0.28(3.05 %),10,0,0,0,9470,9470,9470
2018-10-19,8.64,9470,0(0.00 %),0,0,0,0,9470,9470,9470
2018-10-22,8.38,9190,-0.28(-2.96 %),570,5000000,0,0,9180,9190,8820
2018-10-23,8.38,9190,0(0.00 %),0,0,0,0,9190,9190,9190
2018-10-24,8.65,9490,0.3(3.26 %),680,6000000,0,0,8900,9490,8900
2018-10-25,8.48,9300,-0.19(-2.00 %),540,5000000,0,0,8900,9500,8900
2018-10-26,8.66,9500,0.2(2.15 %),170,2000000,0,0,9500,9500,9500
2018-10-29,8.66,9500,0(0.00 %),60,1000000,0,0,9500,9500,9500
2018-10-30,8.3,9100,-0.4(-4.21 %),210,2000000,0,0,9100,9100,9100
2018-10-31,8.3,9100,0(0.00 %),1050,10000000,0,0,9300,9300,9100
2018-11-01,8.3,9100,0(0.00 %),1030,10000000,0,0,9700,9700,9100
2018-11-02,8.3,9100,0(0.00 %),0,0,0,0,9100,9100,9100
2018-11-05,8.3,9100,0(0.00 %),0,0,0,0,9100,9100,9100
2018-11-06,8.39,9200,0.1(1.10 %),360,3000000,0,0,8500,9200,8500
2018-11-07,8.39,9200,0(0.00 %),0,0,0,0,9200,9200,9200
2018-11-08,8.39,9200,0(0.00 %),0,0,0,0,9200,9200,9200
2018-11-09,8.39,9200,0(0.00 %),120,1000000,0,0,9200,9200,9200
2018-11-12,8.39,9200,0(0.00 %),0,0,0,0,9200,9200,9200
2018-11-13,8.39,9200,0(0.00 %),0,0,0,0,9200,9200,9200
2018-11-14,7.84,8600,-0.6(-6.52 %),110,1000000,0,0,9200,9200,8600
2018-11-15,8.38,9190,0.59(6.86 %),30,0,0,0,9190,9190,8040
2018-11-16,8.38,9190,0(0.00 %),0,0,0,0,9190,9190,9190
2018-11-19,7.84,8600,-0.59(-6.42 %),220,2000000,0,0,8600,8600,8600
2018-11-20,8.21,9000,0.4(4.65 %),890,7000000,0,0,8500,9000,8000
2018-11-21,8.21,9000,0(0.00 %),10,0,0,0,9000,9000,9000
2018-11-22,7.63,8400,-0.63(-7.00 %),100,1000000,0,0,8500,8500,8400
2018-11-23,8.16,8950,0.58(6.93 %),30,0,0,0,8950,8950,7810
2018-11-26,8.47,9290,0.34(3.80 %),20,0,0,0,8900,9290,8900
2018-11-27,8.47,9290,0(0.00 %),0,0,0,0,9290,9290,9290
2018-11-28,8.57,9400,0.11(1.18 %),10,0,0,0,9400,9400,9400
2018-11-29,8.66,9500,0.1(1.06 %),720,7000000,0,0,9400,9500,9400
2018-11-30,8.66,9500,0(0.00 %),0,0,0,0,9500,9500,9500
2018-12-03,8.66,9500,0(0.00 %),0,0,0,0,9500,9500,9500
2018-12-04,8.07,8850,-0.65(-6.84 %),1780,16000000,0,0,9890,9890,8850
2018-12-05,8.62,9450,0.6(6.78 %),90,1000000,0,0,9450,9450,9450
2018-12-06,8.21,9000,-0.45(-4.76 %),50,0,0,0,9000,9000,9000
2018-12-07,8.21,9000,0(0.00 %),240,2000000,0,0,9000,9000,9000
2018-12-10,8.21,9000,0(0.00 %),10,0,0,0,9000,9000,9000
